C_ID,CLASS_ID,CLASS_NAME,RECORD_STATE,CREATE_DATE,MODIFY_DATE,DC_IDENTIFIER,DC_TYPE,KEI_TITLEKOREA,KEI_TITLEENGLISH,KEI_ALTERNATIVETITLEKOREA,KEI_ALTERNATIVETITLEENGLISH,KEI_SERIESMAINTITLE,KEI_SERIESNUMBER,KEI_AUTHORKOREA,KEI_AUTHORENGLISH,KEI_COAUTHORKOREA,KEI_COAUTHORENGLISH,KEI_COPERATEMANAGERKOREA,KEI_COPERATEMANAGERENGLISH,KEI_COPERATEAGENT,KEI_PUBLISHER,KEI_PUBYEAR,KEI_AGENTNAME,KEI_RESEARCHAREA,DC_LANGUAGE,KEI_OPENMETA,KEI_OPENIMAGE,KEI_TOTALPAGECOUNT,KEI_KEYWORDKOREA,KEI_KEYWORDENGLISH,SERVICE_URI
645369,6,수시연구,u,19960206,20120116,A 환1185 1995 WO-04,수시연구,우리나라 환경관련 예산정책의 개선방안,Evaluation of Korea's Environmental Budget Policy and Future Outlook,,,정책보고서,,곽태원,"Kwak,Tae-won",김홍균,"Kim,Hong-Kyun",,,,한국환경기술개발원,19950101,,정책일반,한국어,,,65p.,,Environmental budget/ Environmental expenditure,http://library.kei.re.kr/dmme/img/001/003/001/[95_정책]WO-04환경예산정책(곽태원).pdf
645650,4,기본연구,u,19960109,20120113,A 환1185 1995 RE-13,기본연구,산업별 공업용수의 수요·수량·수질현황파악 및 재이용에 따른 제반문제 검토에 관한 연구,Study on the Recycling of Industrial Wastewater,염색산업을 중심으로,,,,박원규,"Park, Won-Kyou",이상일,"Lee, Sang-il",,,,한국환경기술개발원,19951230,,물환경,한국어,,,"vi, 93p.",,Industrial wastewater/ Dying industry/ Water treatment/ Wastewater reuse,http://library.kei.re.kr/dmme/img/001/003/001/[95_RE13]산업별공업용수현황파악및재이용(박원규).pdf
645651,4,기본연구,u,19960109,20120113,A 환1185 1995 RE-15,기본연구,종합환경정보망 개발사업(Ⅲ),Study on the Development of a Korea Environmental Information Network System (Ⅲ),연구업무 지원을 위한 실험적 환경정보시스템 구현에 관한 연구,,,,이용주,"Lee, Yong-joo",정은화,,,,,한국환경기술개발원,19951230,,정책일반,한국어,,,"iv, 96p.",,Environmental information/ Geographic information system,http://library.kei.re.kr/dmme/img/001/003/001/[95_RE15]종합환경정보망개발사업(III)(이용주).pdf
648280,12,기타보고서,u,19970502,20120116,A 환1185 1997-1,기타보고서,「지방의제21」 모델 개발연구,,,,,,정회성,Jeong Hoe-Seong,"강철구,전성우,김선희",,,,,한국환경기술개발원,19970405,,정책일반,한국어,,,"v, 285p.",,Sustainable development,http://library.kei.re.kr/dmme/img/001/003/001/[97_수탁]지방의제21(정회성)1.pdf
648363,9,기술현황보고서,n,19950127,20111114,A 환1185 1993 AR-03,기술현황보고서,오염지표생물을 이용한 연안환경관리,,,,,,박원규,,,,,,,한국환경기술개발원,1993,,물환경,,,,23p. ;,,,http://library.kei.re.kr/dmme/img/001/020/93_AR03_오염지표생물_박원규.pdf
648382,9,기술현황보고서,n,19950127,20111114,A 환1185 1993 AR-01,기술현황보고서,직접여과법,,,,,,이태관,,,,,,,한국환경기술개발원,1993,,물환경,,,,23p. ;,,,http://library.kei.re.kr/dmme/img/001/020/93_AR01_직접여과법_이태관.pdf
648383,9,기술현황보고서,n,19950127,20111114,A 환1185 1993 AR-02,기술현황보고서,다이옥신에 관한 검토 및 분석기술,,,,,,한화진,,,,,,,한국환경기술개발원,1993,,대기환경,,,,21p. ;,,,http://library.kei.re.kr/dmme/img/001/020/93_AR02_다이옥신_한화진.pdf
648385,9,기술현황보고서,u,19950127,20170329,A 환1185 1993 AR-04,기술현황보고서,환경개선 부담금제도 개선방안.,,,,,,한국환경기술개발원,,,,,,,한국환경기술개발원,1993,,환경정책,,,,"iii, 41p. ;",,,http://library.kei.re.kr/dmme/img/001/020/93_AR04_환경개선부담금_김광임.pdf
648424,4,기본연구,u,19950127,20170703,A 환1185 1993 RE-01,기본연구,환경기술 연구개발 관리체계 구축방안(I),A plan of managing system on Environmental technology development(1) - Report on the basic demand of environmental technology development in industries[93_RE01],산업별 환경기술개발 기초수요 조사,,,,신명교,"Shin, Myung-Kyo","조계민,이승희,최상기","Cho, Kye-Min, Lee, Seung-Hee, Choi, Sang-Gee",,,,한국환경기술개발원,19931230,,정책일반,한국어,,,"xi, 164p. ;",,,http://library.kei.re.kr/dmme/img/001/009/007/93_RE01_환경기술연구개발_관리체계구축방안_산업별환경기술개발기초수요조사_신명교.pdf
648426,4,기본연구,u,19950127,20170703,A 환1185 1993 RE-02,기본연구,환경기술 연구개발 관리체계 구축방안(II),A Plan of Managing System on Environmental Technology Development(I) - Survey on Environmental Manpower for Technology Development,환경기술개발 전문인력 조사보고서,,,,최상기,"Choi, Sang-Gee","신명교,이승희,이재남","Shin, Myung-Kyo, Lee, Seung-Hee, Lee, Jae-Nam",,,,한국환경기술개발원,19931230,,정책일반,한국어,,,"vii, 206p. ;",,,http://library.kei.re.kr/dmme/img/001/003/001/[93_RE02]환경기술연구개발관리체계구축방안-환경기술개발전문인력조사(최상기).pdf
648428,4,기본연구,u,19950127,20170703,A 환1185 1993 RE-03,기본연구,환경기술 연구개발 관리체계 구축방안(III),A plan of managing system on Environmental technology development(Ⅲ) Report on the facility status for environmental technonogy,환경기술 설비실태 조사보고서,,,,이승희,"Lee, Seung-Hee","신명교,최상기,김동억",,,,,한국환경기술개발원,19931230,,정책일반,한국어,,,"xii, 192p. ;",,,http://library.kei.re.kr/dmme/img/001/003/001/[93_RE03]환경기술설비실태(이승희).pdf
648431,4,기본연구,u,19950127,20120113,A 환1185 1993 RE-04,기본연구,한국형 선진환경산업의 육성책 개발을 위한 기초조사(I),Preliminary Studies on Development Strategies for Korean Environmental Industries : Analysis of Domestic and Foreign Environmental Industries,국내 외 환경산업분석,,,,김승태,"Kim, Seung-Tae",이태관,,,,,한국환경기술개발원,19931230,,정책일반,한국어,,,"vii, 151p. ;",,,http://library.kei.re.kr/dmme/img/001/003/001/[93_RE04]국내외환경산업(김승태).pdf
648432,4,기본연구,u,19950127,20120113,A 환1185 1993 RE-05,기본연구,한국형 선진환경산업의 육성책 개발을 위한 기초조사(II),Preliminary Studies on Development Strategies for Korean Environmental Industries : A Report on the State-of-the-Art Technologies of the Environmental Field,환경 분야별 기술현황 조사,,,,이태관,"Lee, Tae-Kwan",김승태,,,,,한국환경기술개발원,19931230,,정책일반,한국어,,,"iix, 379p. ;",,,http://library.kei.re.kr/dmme/img/001/003/001/[93_RE05]환경분야별기술조사(이태관).pdf
648435,4,기본연구,u,19950127,20120113,A 환1185 1993 RE-06,기본연구,수질총량규제방식의 활용방안에 관한 연구(I),Research on the Application of a Total Emissions Regulation for Water Pollution : Guidelines for Total Emissions Regulation System in Korea,한국적 총량규제제도의 방향제시,,,,박원규,"Park, Won-Kyou",김승우,,,,,한국환경기술개발원,19931230,,물환경,한국어,,,"iixi, 284p ;",,,http://library.kei.re.kr/dmme/img/001/003/001/[93_RE06]수질총량규제(박원규).pdf
648437,4,기본연구,u,19950127,20120112,A 환1185 1993 RE-07,기본연구,국제환경협약의 국내 대응기반 구축,,환경기술개발을 위한 국가전략 수립체계 연구,,,,곽일천,"Kwak,Il-Chyun","문현주,박인,김성철","Moon,Hyun-Ju, Park,In, Kim,Sung-Chul",,,,한국환경기술개발원,19931230,,정책일반,한국어,,,"ix, 145p. ;",,,http://library.kei.re.kr/dmme/img/001/003/001/[93_RE07]국내 대응기반 구축(곽일천).pdf
