지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
경기 의정부시,131132,의정부1동,2016010101,0.006,1.4,0.002,0.045,117,104,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010102,0.006,1.4,0.002,0.04,114,94,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010103,0.005,1.2,0.002,0.034,114,93,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010104,0.005,1.1,0.002,0.031,108,87,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010105,0.005,1.2,0.002,0.031,111,88,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010106,0.004,1.2,0.002,0.03,112,94,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010107,0.004,1.2,0.002,0.035,115,100,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010108,0.004,1.2,0.002,0.035,126,110,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010109,0.004,1.2,0.002,0.034,138,110,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010110,0.006,1.3,0.003,0.038,126,100,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010111,0.007,1.3,0.004,0.044,130,113,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010112,0.007,1.2,0.004,0.046,138,115,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010113,0.007,1.1,0.004,0.049,132,110,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010114,0.007,0.8,0.009,0.039,122,105,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010115,0.006,0.6,0.011,0.034,78,63,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010116,0.006,0.6,0.011,0.034,61,50,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010117,0.006,0.7,0.003,0.046,64,47,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010118,0.007,0.8,0.002,0.049,76,48,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010119,0.007,0.8,0.002,0.049,70,52,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010120,0.007,0.8,0.002,0.047,73,63,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010121,0.007,0.9,0.002,0.047,79,61,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010122,0.006,0.8,0.002,0.044,82,60,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010123,0.006,0.8,0.002,0.045,83,69,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010124,0.006,0.8,0.002,0.042,82,72,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010201,0.007,0.9,0.002,0.045,79,67,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010202,0.007,0.8,0.002,0.04,84,64,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010203,0.007,0.8,0.002,0.039,68,56,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010204,0.007,0.8,0.002,0.038,66,56,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010205,0.008,0.9,0.002,0.04,62,49,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010206,0.008,0.9,0.002,0.04,62,46,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010207,0.007,0.8,0.002,0.04,60,42,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010208,0.007,0.8,0.002,0.041,57,40,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010209,0.007,0.9,0.002,0.044,57,47,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010210,0.007,0.9,0.003,0.042,62,51,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010211,0.007,0.7,0.006,0.038,67,53,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010212,0.007,0.6,0.009,0.034,70,52,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010213,0.006,0.6,0.009,0.036,72,47,경기 의정부시 의정부1동
경기 의정부시,131132,의정부1동,2016010214,0.006,0.6,0.009,0.037,69,56,경기 의정부시 의정부1동
